"","hr","SCB90.hd","SCB95.hd","SCB90.hd","SCB95.hd","SCB90.hd","SCB95.hd","SCB90.hd","SCB95.hd","SCB90.hd.1","SCB95.hd.1","SCB90.hd.2","SCB95.hd.2"
"2","GCV",0.30777901492269,0.344850305162596,0.316784045504979,0.353933492092956,0.333595291161492,0.370814078686015,0.351293295116882,0.394276554291538,0.358052035023782,0.399320987771887,0.377558891325606,0.420423444859786
"3","0.05",0.506352816721904,0.567497590444035,0.574197417718248,0.642194024938748,0.621269367287415,0.694473608319942,0.547432714170576,0.613355323366171,0.636714863151781,0.713736011227768,0.667490510258726,0.74496796412844
"4","0.1",0.403155655442512,0.448941419589089,0.448319468773675,0.496871953625271,0.467670461382743,0.516047597626121,0.444794345861404,0.495823871509353,0.493822749950302,0.548235523126499,0.520821136837799,0.575854211800202
"5","0.15",0.381962461187756,0.425737176236073,0.423358752031404,0.468878835928255,0.444302646853688,0.490210391800409,0.429426115032481,0.478868409341403,0.472366633382111,0.522990378136555,0.499207663975153,0.551589086134974
"6","0.2",0.345099352409902,0.384629392253031,0.381477243999628,0.423361165967075,0.40109696241258,0.443143160868478,0.390400062077529,0.43584113201121,0.429433658095173,0.476045189680523,0.453665718908778,0.502346771091315
"7","0.25",0.312208078191339,0.34769587119506,0.343897617784288,0.381494375705756,0.362240679131925,0.400186108603148,0.3546567520941,0.395802089830131,0.389609035732813,0.431976411821049,0.411077938658372,0.455150519156695
"8","0.3",0.30197074315471,0.335653424764355,0.330879184239403,0.365398147979873,0.348137263692046,0.3833221788456,0.344456777386505,0.383227691363816,0.376008905057156,0.415899149918133,0.395421796761363,0.435894095921178
"9","0.35",0.278508298839662,0.30946195350584,0.304531898384438,0.33644030941819,0.320646180324478,0.352567024287449,0.318046534536673,0.353738242753355,0.346955966533531,0.383328907533611,0.365226629033648,0.402118050118625
"10","GCV",0.254081259518222,0.283994102624058,0.279819153700601,0.311034494928581,0.295699838619316,0.32781128670077,0.287783955041064,0.321552250528815,0.318409474625727,0.354404639210015,0.337689626037554,0.374053597217834
"11","0.05",0.212348284705312,0.234241980225258,0.233632463444114,0.256697713227979,0.248115331551142,0.272279580903204,0.233994076093441,0.258897406131852,0.256094242384975,0.281583697781214,0.268970556550178,0.294975521074927
"12","0.1",0.289737022666699,0.320848360040011,0.320064157275546,0.352790018013387,0.337486065319718,0.370402522736073,0.321764851011608,0.356490977392065,0.3574130952024,0.394534404857748,0.376131480958708,0.413562671019234
"13","0.15",0.300204060363612,0.334209871495001,0.329617763502735,0.365270162558548,0.345983020003694,0.38178854861698,0.335819571486573,0.373489040795033,0.37079961412922,0.411830223749528,0.391176171758115,0.43246480875881
"14","0.2",0.271881157591803,0.302694712700175,0.294591697818278,0.326794034136248,0.310904679946498,0.343559524665608,0.305822720416492,0.341210653405629,0.335023306779052,0.371798037351915,0.355384753004385,0.392831438483973
"15","0.25",0.257046354472067,0.286130321070605,0.27751352838291,0.306560089060798,0.292414623397224,0.322073628938605,0.29168274383178,0.324655581964884,0.316069493499,0.349577263945415,0.335972814590304,0.370406862123178
"16","0.3",0.241403873187591,0.268358033546097,0.260420450433338,0.287163577645542,0.274423558116733,0.3014322615363,0.274553201839034,0.305076663497968,0.296997980973401,0.327701427788096,0.315746259671177,0.347027838269362
"17","0.35",0.21664196086666,0.240809064823805,0.234439756203409,0.258627781064618,0.246834363879806,0.27115378790481,0.246535607996921,0.273978393966828,0.267690900062993,0.295373021968652,0.283715809820651,0.312083845825052
"18","GCV",0.215933192251171,0.239728962963354,0.230528682002076,0.254976618866101,0.236636764143812,0.261179202647234,0.231922071215242,0.258211260901447,0.25539434867087,0.28295073619735,0.271431896224919,0.299364693991358
"19","0.05",0.200520890971587,0.220539781313721,0.199176896945444,0.218737435019553,0.198563686420222,0.217188001950852,0.189578482241758,0.209000599015211,0.206570875854014,0.226491451752223,0.218777740442508,0.239865664342941
"20","0.1",0.275707929271052,0.304881526736135,0.279058449119105,0.307395043158897,0.272458023958764,0.299040116162558,0.268266188528635,0.296969861262459,0.290011148176124,0.319421119695599,0.307782692203551,0.337984565263081
"21","0.15",0.239919319534121,0.265745746395814,0.254357663708667,0.280837696734104,0.260198676681236,0.286756698025987,0.255544469916873,0.284148509428565,0.280683047753683,0.310229335235349,0.297477830388418,0.327798194425638
"22","0.2",0.212342300613701,0.234865566441737,0.227476354055436,0.250806143938446,0.23514751822341,0.258569503232841,0.233217277215677,0.258808980654578,0.255788280638534,0.282521344784661,0.270433772963324,0.297620705057302
"23","0.25",0.199504417342561,0.219824720345114,0.21333308494412,0.234297851585689,0.222426948292633,0.243726720462366,0.22188441256643,0.245215583843084,0.241538019456698,0.265898351151803,0.255213454499541,0.279891169777207
"24","0.3",0.175574404268462,0.193766332209846,0.187995894715792,0.206688666467174,0.196962429025822,0.215908623756226,0.196339626985414,0.217332881332613,0.213562281274441,0.23523121949189,0.225327671296562,0.247236960262609
"25","0.35",0.156810946805803,0.173313710530904,0.168483046923702,0.185257377380428,0.176781456735846,0.19404192439853,0.17598192334001,0.195199399631411,0.191667638932012,0.211180584854759,0.202220166104975,0.221953040545256
