"","hr","max_width90.zhou","max_width95.zhou","max_width90.zhou","max_width95.zhou","max_width90.zhou","max_width95.zhou","max_width90.zhou","max_width95.zhou","max_width90.zhou.1","max_width95.zhou.1","max_width90.zhou.2","max_width95.zhou.2"
"2",0.05,0.493863336200904,0.534209980605582,0.529569457765141,0.570982924339308,0.550111931926952,0.591485703090762,0.567467536102462,0.613975684040951,0.605836220473816,0.653179623047099,0.62919094949641,0.677229152385899
"3",0.1,0.5376409418284,0.586090868988516,0.577107141043231,0.626776219304414,0.602243147213966,0.652038814544323,0.613737516862535,0.668779609300328,0.65793059388742,0.714345073317793,0.688223312554362,0.745363022562802
"4",0.15,0.519697509442957,0.570161742780209,0.556460288211596,0.607940993509091,0.586314046134496,0.638863013772477,0.593779653957887,0.650779630295056,0.636992892206638,0.696248300629468,0.671856234898894,0.733178589111634
"5",0.2,0.453414533177171,0.499064602326816,0.489151339052264,0.535666818437184,0.515782853365017,0.563604044534989,0.520944803601242,0.573113704419323,0.5603579621499,0.613615184123251,0.590734936877262,0.645648224387837
"6",0.25,0.397003469664435,0.437262137321456,0.429026881885846,0.470620731507735,0.452246280561137,0.494375226519504,0.456262559460256,0.502338554476696,0.491334086031577,0.538664447445213,0.516719450393727,0.565498377859736
"7",0.3,0.350228018297435,0.386295296515641,0.378799656083644,0.415887355811499,0.399381380511525,0.436956892874502,0.402882917660994,0.444886819311901,0.433878355714015,0.476342959084509,0.456397627282517,0.50006866027499
"8",0.35,0.311444716835372,0.344567939694321,0.337629003226313,0.371472262664424,0.355937530869602,0.390026404152078,0.357886848605198,0.396172135716673,0.386934529894935,0.425966938121316,0.407110885216583,0.446329832996612
"9",0.05,0.382948752687156,0.413599554612866,0.40988905163109,0.441417548251849,0.424465383867961,0.456126784796006,0.438514684459267,0.473228402849794,0.468046304032601,0.504217689286476,0.486922862769831,0.523375079618839
"10",0.1,0.416463534625112,0.453455332433196,0.446677362482388,0.484998804724548,0.468685797099591,0.507422824520387,0.475571230420525,0.518121383478877,0.510958667187001,0.554649964029865,0.537810188913808,0.58285832137966
"11",0.15,0.402223433059264,0.440796088591603,0.433470539294904,0.473973008388508,0.455256185447107,0.496341745372546,0.457567096186637,0.501988657827499,0.494717090866049,0.540779064370534,0.521189529198491,0.56864039432014
"12",0.2,0.353504907693667,0.388954112222623,0.37876704872882,0.414767521808721,0.398066103081983,0.434672046862633,0.402328507360155,0.442140007210842,0.432534765836457,0.473726636949679,0.45712957630969,0.499302534461374
"13",0.25,0.309547259951519,0.341142984575305,0.331618150144311,0.363554153977223,0.34854846277414,0.380672734539736,0.352912138899802,0.389017314271546,0.378575349782398,0.415009274429371,0.401147220449964,0.438598079849149
"14",0.3,0.273207394551295,0.301747601103266,0.29353989214866,0.322073961465947,0.308680853985595,0.33751707502178,0.311610219437896,0.343873139550296,0.335101051008814,0.368111104301714,0.355592560529702,0.389022798128231
"15",0.35,0.242659240062513,0.268387469702352,0.261754078672543,0.287612424922196,0.275410033181117,0.301541071585585,0.276672623084621,0.305879021929354,0.298826571589152,0.328591734055999,0.316898446702451,0.34759116128982
"16",0.05,0.314755124273157,0.338855864035113,0.29735265214299,0.319320607402102,0.300820415564433,0.323513693318603,0.310816019339814,0.335586590088912,0.328841243081928,0.353556680694903,0.344195406863402,0.369793965306355
"17",0.1,0.368532786859829,0.402109855704135,0.369523749758365,0.401628411393496,0.35911018212318,0.389231324151249,0.366366556178596,0.399516623409964,0.391830844188704,0.425854751071669,0.41343843542937,0.448364761557547
"18",0.15,0.308516384527859,0.337564728398145,0.324868059820362,0.354347134508885,0.331740837543637,0.361281380249697,0.334743990377327,0.367193766670019,0.361443406645522,0.395010628791647,0.382029856508633,0.416132034662692
"19",0.2,0.260066194784466,0.284786024017961,0.276997175923811,0.302436991488016,0.285964316173899,0.311778329079381,0.288444610470571,0.316519464423371,0.312799448890043,0.342354162862084,0.329752327940406,0.359611289990723
"20",0.25,0.224881777643609,0.246228484947841,0.239534792350019,0.261761510747154,0.249357781098679,0.271893232129066,0.251158886759789,0.275817076476765,0.271955776210468,0.29778578879443,0.286332814327316,0.31243305728706
"21",0.3,0.197742106448799,0.217098603354223,0.210705555243856,0.230747688670332,0.220345144755862,0.24071575470176,0.221588110463796,0.243991246122942,0.23982187755115,0.26294902596291,0.252135607961475,0.275421542502045
"22",0.35,0.175376487535029,0.193081421455292,0.187409129778879,0.205588744276502,0.196313482867788,0.214933108535025,0.196922854115231,0.217383748428378,0.213361010313297,0.234411703367472,0.224736812834017,0.24572230384292
